Season,Team,Full Name,Age,Competition,Appearances,Assists,Mins played,Goals,xThreat from carries
2021,Juventus,Cristiano Ronaldo,37,Serie A,1,,31,,-0.0006437
2020,Juventus,Cristiano Ronaldo,36,Serie A,33,3,2803,29,2.8835044
2018,Juventus,Cristiano Ronaldo,34,Serie A,31,8,2689,21,2.4462576
2019,Juventus,Cristiano Ronaldo,35,Serie A,33,5,2919,31,3.1613412
2017,Real Madrid,Cristiano Ronaldo,33,La Liga,27,5,2292,26,2.3529979
2021,Manchester United,Cristiano Ronaldo,37,Premier League,30,3,2458,18,1.8073951
