Season,Team,Full Name,Age,Competition,Appearances,Assists,Mins played,Goals,xThreat from carries
2021,Paris Saint-Germain,Neymar,30,Ligue 1,22,6,1861,13,1.6456474
2020,Paris Saint-Germain,Neymar,29,Ligue 1,18,5,1412,9,1.4398483
2017,Paris Saint-Germain,Neymar,26,Ligue 1,20,13,1788,19,2.8762567
2018,Paris Saint-Germain,Neymar,27,Ligue 1,17,7,1441,15,1.9141378
2019,Paris Saint-Germain,Neymar,28,Ligue 1,15,6,1320,13,1.8709897
